year/month,100K,500K,1M,10M
2017-01,5.0,1.0,0.0,0.0
2017-02,5.0,2.0,0.0,0.0
2017-03,24.0,15.0,11.0,2.0
2017-04,13.0,9.0,6.0,2.0
2017-05,59.0,48.0,43.0,21.0
2017-06,51.0,36.0,35.0,11.0
2017-07,19.0,14.0,13.0,1.0
2017-08,43.0,35.0,29.0,11.0
2017-09,27.0,20.0,18.0,6.0
2017-10,29.0,23.0,19.0,9.0
2017-11,49.0,33.0,32.0,18.0
2017-12,188.0,149.0,135.0,68.0
2018-01,169.0,136.0,121.0,65.0
2018-02,29.0,15.0,14.0,8.0
2018-03,26.0,22.0,17.0,7.0
2018-04,53.0,38.0,32.0,14.0
2018-05,34.0,27.0,19.0,4.0
2018-06,20.0,14.0,8.0,2.0
2018-07,50.0,44.0,32.0,12.0
2018-08,16.0,6.0,6.0,3.0
2018-09,32.0,23.0,21.0,10.0
2018-10,35.0,23.0,17.0,2.0
2018-11,31.0,17.0,9.0,4.0
2018-12,26.0,16.0,7.0,3.0
2019-01,32.0,18.0,16.0,6.0
2019-02,21.0,12.0,9.0,6.0
2019-03,56.0,30.0,26.0,10.0
2019-04,65.0,36.0,30.0,6.0
2019-05,54.0,32.0,26.0,11.0
2019-06,68.0,41.0,36.0,16.0
2019-07,71.0,39.0,28.0,11.0
2019-08,55.0,27.0,23.0,9.0
2019-09,48.0,20.0,12.0,4.0
2019-10,56.0,21.0,13.0,6.0
2019-11,57.0,23.0,15.0,4.0
2019-12,35.0,22.0,15.0,1.0
2020-01,60.0,35.0,30.0,5.0
2020-02,83.0,53.0,46.0,17.0
2020-03,90.0,56.0,40.0,17.0
2020-04,72.0,39.0,30.0,12.0
2020-05,108.0,54.0,42.0,10.0
2020-06,105.0,55.0,35.0,10.0
2020-07,157.0,96.0,62.0,16.0
2020-08,229.0,151.0,129.0,48.0
2020-09,145.0,92.0,72.0,27.0
2020-10,122.0,65.0,48.0,14.0
2020-11,144.0,91.0,80.0,20.0
2020-12,188.0,122.0,103.0,39.0
2021-01,367.0,242.0,200.0,72.0
2021-02,663.0,506.0,430.0,174.0
2021-03,647.0,441.0,363.0,137.0
2021-04,559.0,410.0,362.0,167.0
2021-05,666.0,497.0,410.0,173.0
2021-06,328.0,209.0,158.0,60.0
2021-07,449.0,321.0,247.0,58.0
2021-08,614.0,434.0,338.0,115.0
2021-09,502.0,327.0,253.0,64.0
2021-10,856.0,592.0,467.0,119.0
2021-11,928.0,685.0,555.0,185.0
2021-12,473.0,292.0,200.0,58.0
2022-01,491.0,304.0,218.0,42.0
2022-02,340.0,208.0,147.0,27.0
2022-03,377.0,227.0,165.0,46.0
2022-04,384.0,223.0,163.0,48.0
2022-05,426.0,249.0,181.0,51.0
2022-06,364.0,182.0,129.0,34.0
2022-07,327.0,151.0,125.0,38.0
2022-08,322.0,169.0,118.0,27.0
2022-09,315.0,144.0,118.0,28.0
2022-10,263.0,124.0,87.0,23.0
2022-11,308.0,153.0,104.0,29.0
2022-12,242.0,121.0,81.0,13.0
2023-01,363.0,173.0,116.0,24.0
2023-02,522.0,285.0,207.0,47.0
2023-03,363.0,150.0,96.0,21.0
2023-04,423.0,167.0,106.0,24.0
2023-05,553.0,276.0,186.0,40.0
2023-06,323.0,127.0,88.0,19.0
2023-07,380.0,164.0,111.0,24.0
2023-08,328.0,134.0,87.0,14.0
2023-09,279.0,107.0,65.0,19.0
2023-10,144.0,55.0,34.0,12.0
2023-11,0.0,0.0,0.0,0.0
2023-12,0.0,0.0,0.0,0.0
MEAN,214.79761904761904,129.10714285714286,99.10714285714286,31.428571428571427
MEDIAN,115.0,55.5,44.5,16.0
