year/month,100K,100K,500K,500K,1M,1M,10M,10M
2017-01,0.0,,0.0,,0.0,,0.0,
2017-02,0.0,,0.0,,0.0,,0.0,
2017-03,1.0,"bitcoin-plus, ",1.0,"bitcoin-plus, ",1.0,"bitcoin-plus, ",1.0,"bitcoin-plus, "
2017-04,0.0,,0.0,,0.0,,0.0,
2017-05,0.0,,0.0,,0.0,,0.0,
2017-06,1.0,"xtrabytes, ",0.0,,0.0,,0.0,
2017-07,0.0,,0.0,,0.0,,0.0,
2017-08,0.0,,0.0,,0.0,,0.0,
2017-09,0.0,,0.0,,0.0,,0.0,
2017-10,1.0,"binancecoin, ",1.0,"binancecoin, ",1.0,"binancecoin, ",0.0,
2017-11,3.0,"ripio-credit-network, lunyr, amber, ",2.0,"ripio-credit-network, amber, ",2.0,"ripio-credit-network, amber, ",0.0,
2017-12,2.0,"presearch, bitmark, ",1.0,"bitmark, ",1.0,"bitmark, ",0.0,
2018-01,2.0,"luxcoin, game, ",2.0,"luxcoin, game, ",1.0,"game, ",0.0,
2018-02,3.0,"ucash, geocoin, polymath, ",1.0,"ucash, ",1.0,"ucash, ",0.0,
2018-03,1.0,"paccoin, ",1.0,"paccoin, ",1.0,"paccoin, ",0.0,
2018-04,0.0,,0.0,,0.0,,0.0,
2018-05,2.0,"bytecoin, daostack, ",1.0,"bytecoin, ",1.0,"bytecoin, ",1.0,"bytecoin, "
2018-06,2.0,"smartlands, cvnx, ",0.0,,0.0,,0.0,
2018-07,1.0,"mybit-token, ",1.0,"mybit-token, ",0.0,,0.0,
2018-08,0.0,,0.0,,0.0,,0.0,
2018-09,0.0,,0.0,,0.0,,0.0,
2018-10,0.0,,0.0,,0.0,,0.0,
2018-11,2.0,"emercoin, agrello, ",1.0,"agrello, ",0.0,,0.0,
2018-12,1.0,"solve-care, ",0.0,,0.0,,0.0,
2019-01,0.0,,0.0,,0.0,,0.0,
2019-02,1.0,"bitball, ",0.0,,0.0,,0.0,
